club_name,league_name
San Lorenzo,Argentina
San Marino,Other
Sanf. Hiroshima,Other
Sangiustese,Other
Sant'Omero,Other
Santa Rita,Other
Santo André,Other
Santos FC,Brazil
Santos Laguna,Mexico
Sapri Calcio,Other
Saprissa,Other
Sarpsborg 08,Norway
Saturn Ramenskoe,Other
Scarborough Athletic,Other
Schweinfurt 05,Other
Scunthorpe United,Premier League
Scunthorpe Utd.,Other
Seongnam Ilhwa,Other
Servette FC,Switzerland
Sevilla Atl.,Other
Sevilla FC,Primera Division
Shakhtar 3,Other
Shakhtar D.,Other
Shamrock Rovers,Other
Sharjah FC,Other
Sharks FC,Other
Sheff Wed,Other
Sheffield United,Premier League
Sheffield Utd.,Other
Sheffield Wednesday,Premier League
Shelbourne,Other
Sheriff,Other
Shinnik Yaroslavl,Other
Shkendija,Other
Shrewsbury,Other
Siarka T.,Other
Sigma Olomouc,Other
Siirt Jetpa,Other
Sileks,Other
Silkeborg IF,Denmark
Sint-Truiden,Belgium
Siroki Brijeg,Other
Sittingbourne FC,Other
Sivasspor,Turkey
Skelmersdale,Other
Skoda Xanthi,Other
Skonto Riga,Other
Slask Wroclaw,Other
Slaven Belupo,Croatia
Slavia Prague,Other
Slavia Sofia,Other
Sligo Rovers,Other
Slo. Bratislava,Other
Sloboda Tuzla,Other
Slovan Liberec,Other
Slovácko,Other
Smederevo,Serbia
Sogndal IL,Other
Soligorsk,Other
Sounders FC,Usa
Southampton FC,Premier League
Southend United,Premier League
Southport,Other
Sp. Toulon Var,Other
SpVgg Ansbach,Other
SpVgg Greuther Fürth,1 Bundesliga
SpVgg Landshut,Other
SpVgg Neckarelz,Other
SpVgg Unterhaching,1 Bundesliga
Sparta Praha,Other
Sparta R.,Other
Sparta Rotterdam,Eredivisie
Spartak 2,Other
Spartak Moscow,Premier Liga
Spartak Nalchik,Other
Spartak Trnava,Other
Spartak V-kavkaz,Other
Spartak Vladikavkaz,Premier Liga
Spartaks,Other
Spezia Calcio,Serie A
Spfr. Siegen,Other
Sport Recife,Other
Sport. Cristal,Other
Sporting CP,Liga Nos
Sporting Gijón,Primera Division
St-Étienne U19,Other
St. George Saints,Other
St. Johnstone,Other
St. Mirren,Other
St. Mirren FC U17,Other
St. Patricks,Other
Stabæk Fotball,Norway
Stade Brest 29,Ligue 1
Stade Lavallois,Other
Stade Reims,Ligue 1
Stade Rennais FC,Ligue 1
Standard Liège,Belgium
Start,Norway
Steaua Bukarest,Other
Stella Club,Other
Stevenage,Other
Stirling,Scotland
Stockport,Other
Stoke City,Premier League
Stomil Olsztyn,Other
Storm,Other
Strømsgodset,Norway
Sturm Graz,Austria
Stuttg. Kickers,Other
Suduva,Other
Sunderland AFC,Premier League
Sundowns,Other
SuperSport Utd.,Other
Sutton Utd,Other
Suwon Bluewings,Other
Swansea City,Premier League
Swindon Town,Premier League
Sydney FC,Other
Sydney Olympic,Other
São Caetano,Other
São Paulo,Brazil
Südtirol,Other
T. Royal Zulu,Other
TJ Tianhai,Other
TP Mazembe,Other
TPS,Other
TSF Ditzingen,Other
TSG 1899 Hoffenheim,1 Bundesliga
TSG Hoffenheim,Other
TSV 1860 Munich,1 Bundesliga
Tadamon Sour,Other
Tampa Bay,Usa
Tamworth,Other
Taranto,Other
Tatran Presov,Other
TeBe Berlin,Other
Telford Utd,Other
Telstar,Other
Teramo,Other
Terek Grozny,Premier Liga
Ternana,Other
Ternana U.,Other
Tervarit Oulu,Other
Tiburones Rojos,Mexico
Tigre,Argentina
Tigres UANL,Mexico
Tiro Federal,Other
Tokyo Verdy,Other
Toluca,Mexico
Tom Tomsk,Premier Liga
Tombense,Other
Torino Calcio,Serie A
Torino FC,Serie A
Toronto FC,Other
Torpedo Kutaisi,Other
Torpedo Moscow,Premier Liga
Torquay United,Other
Torres,Other
Tottenham Hotspur,Premier League
Tours FC,Other
Trabzonspor,Turkey
Tranmere Rovers,Other
Trapani,Other
Trelleborg,Sweden
Triestina,Other
Tromsø IL,Norway
Três Passos,Other
Tskhinvali,Other
TuS Celle FC,Other
Tuttocuoio,Other
Twente Enschede FC,Eredivisie
Twente FC,Other
Táchira,Other
U. de Chile,Other
UAG Tecos,Other
UC AlbinoLeffe,Other
UC Sampdoria,Serie A
UCD,Other
UD Almería,Primera Division
UD Las Palmas,Primera Division
UD Salamanca (liq.),Primera Division
UNAM Pumas,Other
US Boulogne,Ligue 1
US Cremonese,Serie A
US Gorée,Other
US Lecce,Serie A
US Orléans,Other
US Palermo,Serie A
US Salernitana,Serie A
US Sassuolo,Serie A
USM Alger,Other
USM Porres,Other
Udinese Calcio,Serie A
Ulsan Hyundai,Other
Ult. Strikers,Other
Union Innsbruck,Other
Univ. Craiova,Other
Universitario,Other
União São João,Other
União de Leiria,Liga Nos
Unknown,Other
Ural Yekaterinburg,Premier Liga
Uralmash Ekaterinburg,Other
Urawa Reds,Other
V. Francavilla,Other
VPS,Other
VVV-Venlo,Eredivisie
Valencia CF,Primera Division
Valenciennes FC,Ligue 1
Valmiera,Other
Vancouver,Other
Vannes,Other
Varese,Other
Varteks,Other
Varzim SC,Other
Vasas SC,Other
Vasco da Gama,Brazil
Veendam,Other
Vegalta Sendai,Other
Veles Moskow,Other
Veranopolis,Other
Vestenbergsgr.,Other
VfB Gaggenau,Other
VfB Leipzig,1 Bundesliga
VfB Lübeck,Other
VfB Oldenburg,Other
VfB Stuttgart,1 Bundesliga
VfL Bochum,1 Bundesliga
VfL Frohnlach,Other
VfL Kirchheim,Other
VfL Osnabrück,Other
VfL Wolfsburg,1 Bundesliga
Viborg FF,Denmark
Vicenza Calcio,Serie A
Videoton FC,Other
Viking FK,Norway
Viktoria Plzen,Other
Vila Nova FC,Brazil
Vila Real,Other
Villarreal CF,Primera Division
Virtus Entella,Other
Virtus Lanciano,Other
Vissel Kobe,Other
Vit. Guimarães,Other
Vitesse Arnhem,Eredivisie
Vitória Guimarães SC,Liga Nos
Vitória Setúbal FC,Liga Nos
Vizela,Other
Vojvodina,Serbia
Volga NN,Other
Volta Redonda,Other
Vozdovac,Other
Vålerenga,Norway
Vélez Sarsfield,Argentina
W. Bremen II,Other
W. Burghausen,Other
Waasl.-Beveren,Other
Wacker Tirol,Other
Wadi Degla U23,Other
Waldh. Mannheim,Other
Walsall,Other
Walton & Hersham FC,Other
Waterford FC,Other
Waterhouse,Other
Watford FC,Premier League
Wehen Wiesbaden,Other
West Adelaide SC,Other
West Bromwich Albion,Premier League
West Ham United,Premier League
Widzew Lodz,Other
Wigan Athletic,Premier League
Wilhelmshaven,Other
Willem II Tilburg,Eredivisie
Wimbledon FC,Premier League
Wisla Kraków,Polonia
Wisla Plock,Polonia
Wizards,Other
Wolfsberger AC,Austria
Wolverhampton Wanderers,Premier League
Wrexham,Other
Wuppertaler SV,Other
Wycombe Wanderers,Other
Wydad AC,Other
Würzb. Kickers,Other
Wüstenrot Sbg,Other
Xamax,Switzerland
Xerez CD,Primera Division
Yeovil Town,Other
Yokohama F. M.,Other
York City,Usa
Yverdon-Sport,Switzerland
Z. Sosnowiec,Other
ZESCO United FC,Other
Zaglebie Lubin,Other
Zalaegerszeg,Hungary
Zamalek,Other
Zamora,Other
Zawisza,Polonia
Zenit 2 S-Pb,Other
Zenit S-Pb,Other
Zenit St. Petersburg,Premier Liga
Zira FC,Other
Zob Ahan,Other
Zorya Lugansk,Other
Zrinjski Mostar,Other
Zulia FC,Other
Zulte Waregem,Belgium
Écija Balompié,Other
ÍA Akranes,Other
Örebro SK,Sweden
Örgryte,Sweden
Östersund,Sweden
Újpest FC,Hungary
